TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-12,2026-02-12,CM,NSE,STK,192,INE906B07DF8,875NHAI29,N6,,,,,8.75% TAX FREE TR I S IIB,1174.0,1174.0,1164.04,1166.89,1166.0,1173.5,,1166.89,,,3868,4510462.19,61,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19968,INE031A07949,876HUDCO28,ND,,,,,8.76% TAX FREETRI SR2B,1102.21,1103.94,1101.0,1101.03,1101.0,1103.09,,1101.02,,,372,409814.65,8,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,31487,INE848E07567,892NHPC33,N6,,,,,8.92% SEC RED BOND S3B,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,,1299.0,,,109,141700.0,3,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,20028,INE134E07463,892PFCL33,N8,,,,,8.92% TAX FREE NCD,1235.0,1235.0,1230.1,1231.0,1231.0,1239.0,,1231.41,,,437,538229.0,21,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,20048,INE774D08MA6,9MMFSML,N2,,,,,9.00% UNSECURED NCD,1062.5,1062.5,1060.0,1060.0,1060.0,1063.0,,1061.7,,,20,21212.5,2,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19970,INE031A07AB2,901HUDCO34,NE,,,,,9.01% TAX FREETRII SR3B,1245.0,1245.0,1235.0,1235.0,1235.0,1240.0,,1235.0,,,295,365233.5,14,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,759130,INE08PH01015,ABCOTS,EQ,,,,,A B COTSPIN INDIA LIMITED,426.95,441.7,426.95,431.55,427.0,437.9,,431.55,,,10063,4375098.75,465,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,27020,INE00YB01025,ABINFRA,EQ,,,,,A B INFRABUILD LIMITED,21.88,21.88,19.71,20.22,20.2,21.42,,20.22,,,1552701,31438971.78,3141,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,15147,INE0O6N01012,AGUL,SM,,,,,A G UNIVERSAL LIMITED,80.8,80.8,80.8,80.8,80.8,80.8,,80.8,,,2000,161600.0,1,F1,2000,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,20906,INE619I01012,A2ZINFRA,EQ,,,,,A2Z INFRA ENGINEERING LTD,15.75,15.75,14.75,14.8,14.78,15.19,,14.8,,,136584,2040771.33,373,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,12542,INE0D0U01013,AAATECH,BE,,,,,AAA TECHNOLOGIES LIMITED,107.49,111.53,107.49,111.53,111.53,106.22,,111.8,,,12911,1430139.31,206,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,23729,INE883F01010,AADHARHFC,EQ,,,,,AADHAR HOUSING FINANCE L,472.6,476.0,468.7,471.0,469.1,472.6,,471.0,,,174451,82210718.8,11708,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,757579,INE1GYP01013,AAKAAR,SM,,,,,AAKAAR MEDICAL TECHNO LTD,52.0,53.0,48.55,50.0,50.0,51.0,,50.0,,,19200,962640.0,10,F1,1600,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,235,INE087Z01024,AAKASH,EQ,,,,,AAKASH EXPLORATION SER L,8.14,8.23,7.82,7.96,7.99,7.98,,7.96,,,72243,579319.02,350,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,758120,INE124401014,AARADHYA,SM,,,,,AARADHYA DISPOSAL INDUS L,113.0,113.0,111.0,112.0,112.0,115.0,,112.0,,,8400,939000.0,7,F1,1200,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,5245,INE198H01019,AAREYDRUGS,EQ,,,,,AAREY DRUGS & PHARM LTD,66.75,71.5,66.22,70.94,69.65,67.97,,70.94,,,608739,42577965.6,2455,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,1030,INE721Z01010,AARON,EQ,,,,,AARON INDUSTRIES LIMITED,162.87,163.2,159.0,159.16,160.1,162.05,,159.16,,,4795,768573.72,268,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,17145,INE01C001026,AARTECH,EQ,,,,,AARTECH SOLONICS LIMITED,50.96,50.96,47.5,48.24,48.39,49.84,,48.24,,,35918,1736974.7,523,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,4481,INE767A01016,AARTIDRUGS,EQ,,,,,AARTI DRUGS LTD.,376.65,377.6,372.55,375.15,374.3,375.25,,375.15,,,58730,22029589.6,2147,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,7,INE769A01020,AARTIIND,EQ,,,,,AARTI INDUSTRIES LTD,466.1,468.0,461.0,465.6,463.0,467.15,,465.6,,,870683,404287418.05,30396,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,13868,INE0LRU01027,AARTIPHARM,EQ,,,,,AARTI PHARMALABS LIMITED,745.8,745.8,694.0,710.85,711.4,749.85,,710.85,,,640813,455326061.45,30323,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19233,INE09EO01013,AARTISURF,EQ,,,,,AARTI SURFACTANTS LIMITED,428.1,434.55,422.6,425.8,422.6,434.9,,426.2,,,5553,2384674.7,528,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,12121,INE09EO04017,AARTISURF,P1,,,,,AARTI SURFACTANTS LIMITED,156.55,197.0,156.55,192.8,192.8,195.45,,192.8,,,15,2731.75,4,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,19073,INE754X01016,AARVI,EQ,,,,,AARVI ENCON LIMITED,133.5,135.3,127.0,130.78,130.0,131.63,,130.78,,,99629,13110216.32,2935,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,16961,INE0OB201016,AATMAJ,SM,,,,,AATMAJ HEALTHCARE LIMITED,20.5,20.5,20.5,20.5,20.5,20.0,,20.5,,,2000,41000.0,1,F1,2000,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,5385,INE216P01012,AAVAS,EQ,,,,,AAVAS FINANCIERS LIMITED,1309.9,1320.0,1294.1,1308.5,1300.5,1309.9,,1308.4,,,246242,322645502.9,17589,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,7759,INE421A01028,ABAN,BE,,,,,ABAN OFFSHORE LTD.,21.95,21.95,21.01,21.11,21.27,21.48,,21.12,,,36020,763294.73,216,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,13288,INE00ZE01026,AFSL,EQ,,,,,ABANS FINANCIAL SRVCS LTD,203.5,203.5,201.0,201.01,201.0,202.37,,201.0,,,19526,3932028.05,589,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,13,INE117A01022,ABB,EQ,,,,,ABB INDIA LIMITED,5819.0,5864.5,5760.0,5788.5,5795.0,5825.5,,5788.4,,,169801,983117303.5,16847,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,17903,INE358A01014,ABBOTINDIA,EQ,,,,,ABBOTT INDIA LIMITED,27135.0,27135.0,26550.0,26660.0,26640.0,26915.0,,26661.35,,,14882,397653215.0,6866,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,27284,INE0UYG01015,ABHAPOWER,SM,,,,,ABHA POWER N STEEL LTD,32.05,32.05,32.0,32.0,32.0,31.95,,32.0,,,3200,102480.0,2,F1,1600,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,4626,INE0CAJ01017,AILIMITED,SM,,,,,ABHISHEK INTEGRATIONS LTD,27.4,27.4,27.4,27.4,27.4,26.1,,27.4,,,4500,123300.0,3,F1,1500,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,5549,INE251C01025,ABMINTLLTD,EQ,,,,,ABM INTERNATIONAL LTD,56.5,61.4,53.3,55.51,53.3,56.64,,55.51,,,10140,578167.36,331,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,23783,INE0QRV01016,ABSMARINE,SM,,,,,ABS MARINE SERVICES LTD,182.0,184.5,180.05,183.1,183.45,184.55,,183.1,,,44000,8018250.0,72,F1,500,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,22,INE012A01025,ACC,EQ,,,,,ACC LIMITED,1703.9,1703.9,1665.5,1671.3,1671.1,1698.0,,1671.35,,,117026,196542904.9,8708,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,7053,INE793A01012,ACCELYA,EQ,,,,,ACCELYA SOLN INDIA LTD,1217.0,1218.7,1202.0,1208.6,1206.0,1216.0,,1208.65,,,22006,26611213.9,1615,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,20488,INE0Q5D01013,ACCENTMIC,SM,,,,,ACCENT MICROCELL LIMITED,331.0,331.95,325.0,326.8,326.0,329.2,,326.8,,,15500,5082475.0,28,F1,500,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,21217,INE113X01015,ACCORD,SM,,,,,ACCORD SYNERGY LIMITED,27.0,27.0,27.0,27.0,27.0,28.0,,27.0,,,2000,54000.0,1,F1,2000,,,,,
